language,reason,count,,
JavaScript,contributing is missing.,381,46%,824
JavaScript,contributing size < 0.5kB.,41,5%,824
JavaScript,contributing is not in English.,3,0%,824
JavaScript,contributing is not in Markdown.,2,0%,824
Python,contributing is missing.,527,57%,929
Python,contributing size < 0.5kB.,37,4%,929
Python,contributing is not in English.,12,1%,929
Python,contributing is not in Markdown.,91,10%,929
Java,contributing is missing.,692,73%,942
Java,contributing size < 0.5kB.,22,2%,942
Java,contributing is not in English.,4,0%,942
Java,contributing is not in Markdown.,5,1%,942
PHP,contributing is missing.,593,63%,941
PHP,contributing size < 0.5kB.,49,5%,941
PHP,contributing is not in English.,4,0%,941
PHP,contributing is not in Markdown.,4,0%,941
C#,contributing is missing.,651,66%,990
C#,contributing size < 0.5kB.,54,5%,990
C#,contributing is not in English.,3,0%,990
C#,contributing is not in Markdown.,1,0%,990
C++,contributing is missing.,604,64%,942
C++,contributing size < 0.5kB.,35,4%,942
C++,contributing is not in English.,2,0%,942
C++,contributing is not in Markdown.,14,1%,942
TypeScript,contributing is missing.,474,48%,990
TypeScript,contributing size < 0.5kB.,42,4%,990
TypeScript,contributing is not in English.,3,0%,990
TypeScript,contributing is not in Markdown.,4,0%,990
Shell,contributing is missing.,785,79%,990
Shell,contributing size < 0.5kB.,23,2%,990
Shell,contributing is not in English.,4,0%,990
Shell,contributing is not in Markdown.,6,1%,990
C,contributing is missing.,702,74%,947
C,contributing size < 0.5kB.,28,3%,947
C,contributing is not in English.,2,0%,947
C,contributing is not in Markdown.,26,3%,947
Ruby,contributing is missing.,646,63%,1019
Ruby,contributing size < 0.5kB.,33,3%,1019
Ruby,contributing is not in English.,1,0%,1019
Ruby,contributing is not in Markdown.,11,1%,1019
